sentences = 40000
min_count = 10

before token count : 127123
after token count : 10027

======= "폭행" 과 연관된 단어, 유사도 =======
('강요', 0.4148750603199005)
('고용노동부도', 0.4082699120044708)
('폭행과', 0.4009999632835388)
('송치했지만', 0.39976489543914795)
('맷값', 0.39906060695648193)
('입증하고', 0.3937251567840576)
('동물보호법', 0.3910515606403351)
('폭언', 0.38657253980636597)
('양씨의', 0.3862892985343933)
('영상에서', 0.38448581099510193)
('옮겨졌으나', 0.3796756863594055)
('횟수만', 0.37935638427734375)
('운영자인', 0.3760925233364105)
('음란물', 0.3709408640861511)
('행각으로', 0.36973893642425537)
('경기남부지방경찰청은', 0.36896878480911255)
('엽기', 0.36673614382743835)
('뉴스타파와', 0.36499834060668945)
('성남지청은', 0.36474883556365967)
('성폭력범죄의', 0.3632989823818207)
('직원들에', 0.3592786192893982)
('피고인들은', 0.3590361773967743)
('뉴스타파가', 0.3562559485435486)
('회장에게', 0.3543768525123596)
('보복이', 0.3522194027900696)
('폭행한', 0.3506524860858917)
('폭행을', 0.3488829731941223)
('폭행당한', 0.3488016128540039)
('목격자', 0.3487085700035095)
('가혹행위가', 0.34537601470947266)


======= "채용" 과 연관된 단어, 유사도 =======
('신입사원', 0.41988405585289)
('폭언', 0.35004347562789917)
('친인척', 0.34870317578315735)
('대표와', 0.3395427465438843)
('협력업체', 0.33667606115341187)
('대통령선거', 0.33329087495803833)
('전형', 0.3282519578933716)
('하나은행', 0.32745790481567383)
('블라인드', 0.32737845182418823)
('불법파견', 0.3260248303413391)
('콜센터', 0.32185861468315125)
('정규직', 0.32165294885635376)
('사법처리', 0.3215797543525696)
('형사소송법', 0.3214215040206909)
('지시', 0.32101356983184814)
('25조의', 0.3193729519844055)
('지역인재', 0.3183896839618683)
('직위를', 0.3094237446784973)
('참석자들과', 0.3089897632598877)
('자체적으로', 0.308986097574234)
('상정', 0.3087884187698364)
('이용촉진', 0.3086221516132355)
('실태조사를', 0.3078669309616089)
('분야는', 0.30631476640701294)
('넘겨졌다', 0.30449485778808594)
('지시하는', 0.3040013015270233)
('8년을', 0.30243808031082153)
('채용계획', 0.30200862884521484)
('스마트팩토리', 0.3008846640586853)
('제19대', 0.3007822632789612)
